id,url,fullText,createdAt,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName
1897773467732222000,https://x.com/Frowler_/status/1897773467732222077,@cardtonic Real Sociedad 0-1 Manchester United,2025-03-06 22:17,0,0,0,0,34,cardtonic,76,486,Frowler_
1897759840388121000,https://x.com/Ese_Obox/status/1897759840388120996,@cardtonic ATM 1-0 Real Madrid,2025-03-06 21:22,0,0,0,0,5,cardtonic,74,545,Ese_Obox
1897757255799353900,https://x.com/tundabam/status/1897757255799353779,@cardtonic Athletic Madrid 0 vs Real Madrid 1,2025-03-06 21:12,0,0,0,0,7,cardtonic,340,4328,tundabam
1897724028606943200,https://x.com/Adesewa16169371/status/1897724028606943279,@cardtonic ATM 2-2 Real Madrid,2025-03-06 19:00,0,0,0,0,3,cardtonic,126,2004,Adesewa16169371
1897717740393165000,https://x.com/spghaddaf/status/1897717740393164976,@cardtonic ATM 1-1 R. MADRID,2025-03-06 18:35,0,0,0,0,5,cardtonic,618,754,spghaddaf
1897715683154141200,https://x.com/AkankizaR46760/status/1897715683154141208,@cardtonic ATM 2:1REAL,2025-03-06 18:27,0,0,0,0,3,cardtonic,2240,2360,AkankizaR46760
1897707353144803600,https://x.com/tripdarlyn/status/1897707353144803486,@cardtonic ATM 1-3 Real Madrid,2025-03-06 17:54,0,0,0,0,22,cardtonic,1161,3873,tripdarlyn
1897707068158571000,https://x.com/mimijenjev/status/1897707068158570938,@cardtonic ATM 3-3 Real Madrid,2025-03-06 17:53,0,0,0,0,17,cardtonic,27,334,mimijenjev
1897706933882130400,https://x.com/Tripdarly/status/1897706933882130443,@cardtonic ATM 2-3 Real Madrid,2025-03-06 17:52,0,0,0,0,35,cardtonic,29,371,Tripdarly
1897706783948374300,https://x.com/shorttakesnews/status/1897706783948374278,@cardtonic ATM 3-2 Real Madrid,2025-03-06 17:52,0,0,0,0,20,cardtonic,253,2575,shorttakesnews
1897706672442818800,https://x.com/BdlFabrics/status/1897706672442818933,@cardtonic ATM 2-2 Real Madrid,2025-03-06 17:51,0,0,0,0,19,cardtonic,137,2093,BdlFabrics
1897706550019367000,https://x.com/protioes/status/1897706550019366951,@cardtonic ATM 1-2 Real Madrid,2025-03-06 17:51,0,0,0,0,13,cardtonic,100,1131,protioes
1897706425918361900,https://x.com/Lagosvegan1/status/1897706425918361925,@cardtonic ATM 0-1 Real Madrid,2025-03-06 17:50,0,0,0,0,16,cardtonic,76,1322,Lagosvegan1
1897706311485473000,https://x.com/colormedia124/status/1897706311485472929,@cardtonic ATM 2-1 Real Madrid,2025-03-06 17:50,0,0,0,0,28,cardtonic,373,2480,colormedia124
1897704473004589000,https://x.com/Quatext/status/1897704473004589100,@cardtonic ATM 1-0 Real Madrid,2025-03-06 17:42,0,0,0,0,22,cardtonic,187,2311,Quatext
1897704378066207200,https://x.com/mrsafetyabc/status/1897704378066207116,@cardtonic ATM 1-1 Real Madrid,2025-03-06 17:42,0,0,0,0,20,cardtonic,428,4366,mrsafetyabc
1897704298512810500,https://x.com/harmabeo/status/1897704298512810421,@symplyDAPO @cardtonic Let your face shine upon me🙌🏼🙌🏼🙌🏼,2025-03-06 17:42,0,0,0,0,8,symplyDAPO,3284,3354,harmabeo
1897698619827868000,https://x.com/Okwudili90/status/1897698619827867784,@Mc_Phils @symplyDAPO @cardtonic Na me be number 2,2025-03-06 17:19,0,0,0,0,8,Mc_Phils,1170,1355,Okwudili90
1897696694000583000,https://x.com/TheGooodFriend/status/1897696694000582860,@Mc_Phils @symplyDAPO @cardtonic Leggooo,2025-03-06 17:12,0,0,0,0,13,Mc_Phils,239,463,TheGooodFriend
1897696721884336600,https://x.com/TheGooodFriend/status/1897696721884336534,@symplyDAPO @cardtonic Leggoooo,2025-03-06 17:12,0,0,0,0,4,symplyDAPO,239,463,TheGooodFriend
1897696566292758800,https://x.com/UgwuChigoz51234/status/1897696566292758767,@cardtonic ATM 2-1 Real Madrid,2025-03-06 17:11,0,0,0,0,16,cardtonic,109,1034,UgwuChigoz51234
1897696427804897500,https://x.com/youngvallen123/status/1897696427804897460,@Mc_Phils @symplyDAPO @cardtonic Pick me as #1,2025-03-06 17:11,0,0,0,0,9,Mc_Phils,1164,886,youngvallen123
1897694692566790400,https://x.com/cardtonic/status/1897694692566790434,"…Note:
1. Predictions close at 6 PM on Wednesday.
2. Winners will be selected at random.
3. You must follow us on social media &amp; be a registered Cardtonic user to qualify.

Start predicting now!😁
#Usecardtonic #Championsleague #Predictandwin #Cardtonicpredictandwin #football",2025-03-06 17:04,1,0,4,0,234,cardtonic,15751,48,cardtonic
1897694684480180500,https://x.com/cardtonic/status/1897694684480180530,"Atletico and Real Madrid will face off in a heated Round of 16 second-leg battle on Wednesday, March 12! Who do you think will win?🤔

Drop your score prediction in the comments, and if you guess correctly, you could win a prize! 🎉… https://t.co/5PMkFIXrxa",2025-03-06 17:04,35,176,124,0,2242,,15751,48,cardtonic
1897694477164191700,https://x.com/the_ayodamola/status/1897694477164191780,@symplyDAPO @cardtonic God bless you abundantly sir,2025-03-06 17:03,0,0,0,0,8,symplyDAPO,10191,10175,the_ayodamola
1897693753038532900,https://x.com/Mc_Phils/status/1897693753038532833,@symplyDAPO @cardtonic I will pick 2 also,2025-03-06 17:00,0,3,1,1,661,symplyDAPO,134042,11,Mc_Phils
1897691543512789200,https://x.com/esepalmerr/status/1897691543512789241,@iamAbiodunAA Cardtonic is great,2025-03-06 16:51,0,0,0,0,7,iamAbiodunAA,1603,1470,esepalmerr
1897691128679584000,https://x.com/Emmyzyl2003/status/1897691128679584118,@symplyDAPO @cardtonic Stay blessed,2025-03-06 16:49,0,0,0,0,11,symplyDAPO,523,1271,Emmyzyl2003
1897690955366457900,https://x.com/bello_adefunke/status/1897690955366457814,"@symplyDAPO @cardtonic Wow
Amazing ❤️",2025-03-06 16:49,0,0,0,0,26,symplyDAPO,10953,616,bello_adefunke
1897689050850685200,https://x.com/Kklazzique/status/1897689050850685180,"@symplyDAPO @cardtonic I just love the way you care about others
This is a special gift from God
You are forever blessed",2025-03-06 16:41,0,0,0,0,19,symplyDAPO,7401,6453,Kklazzique
1897687725135859700,https://x.com/Annie_john18/status/1897687725135859750,"@symplyDAPO @cardtonic God bless your kind heart for this
I pray am among lucky person also",2025-03-06 16:36,0,0,1,0,26,symplyDAPO,280,431,Annie_john18
1897683419120685000,https://x.com/ThefirstHartom/status/1897683419120685175,@symplyDAPO @cardtonic Na lie,2025-03-06 16:19,0,0,0,0,8,symplyDAPO,24,64,ThefirstHartom
1897679478089732600,https://x.com/Topkolly/status/1897679478089732503,"@symplyDAPO @cardtonic Enjoy your lunch boss

#MoneyMarch #UseCardtonic",2025-03-06 16:03,0,0,0,0,19,symplyDAPO,292,433,Topkolly
1897676347498967000,https://x.com/realhappylion/status/1897676347498967059,@symplyDAPO @cardtonic Money na water 🌊,2025-03-06 15:51,0,0,0,0,17,symplyDAPO,781,1207,realhappylion
1897675145927414000,https://x.com/arsenalbaby_/status/1897675145927414106,@symplyDAPO @cardtonic I want,2025-03-06 15:46,0,0,0,0,3,symplyDAPO,417,976,arsenalbaby_
1897672208887026000,https://x.com/JoshuaM39947852/status/1897672208887025910,@symplyDAPO @cardtonic Nice 👍,2025-03-06 15:34,0,0,0,0,11,symplyDAPO,1198,2136,JoshuaM39947852
1897671451827659000,https://x.com/wole_id91/status/1897671451827658980,@symplyDAPO @cardtonic Congratulations and more wins boss.,2025-03-06 15:31,0,0,0,0,25,symplyDAPO,137,252,wole_id91
1897669953735495700,https://x.com/Akinjoshua2017/status/1897669953735495693,@symplyDAPO @cardtonic Nice one,2025-03-06 15:25,0,0,0,0,76,symplyDAPO,43423,15663,Akinjoshua2017
1897696566292758800,https://x.com/UgwuChigoz51234/status/1897696566292758767,@cardtonic ATM 2-1 Real Madrid,2025-03-06 17:11,0,0,0,0,16,cardtonic,109,1034,UgwuChigoz51234
1897696427804897500,https://x.com/youngvallen123/status/1897696427804897460,@Mc_Phils @symplyDAPO @cardtonic Pick me as #1,2025-03-06 17:11,0,0,0,0,9,Mc_Phils,1164,886,youngvallen123
1897694692566790400,https://x.com/cardtonic/status/1897694692566790434,"…Note:
1. Predictions close at 6 PM on Wednesday.
2. Winners will be selected at random.
3. You must follow us on social media &amp; be a registered Cardtonic user to qualify.

Start predicting now!😁
#Usecardtonic #Championsleague #Predictandwin #Cardtonicpredictandwin #football",2025-03-06 17:04,1,0,4,0,234,cardtonic,15751,48,cardtonic
1897694684480180500,https://x.com/cardtonic/status/1897694684480180530,"Atletico and Real Madrid will face off in a heated Round of 16 second-leg battle on Wednesday, March 12! Who do you think will win?🤔

Drop your score prediction in the comments, and if you guess correctly, you could win a prize! 🎉… https://t.co/5PMkFIXrxa",2025-03-06 17:04,35,176,124,0,2242,,15751,48,cardtonic
