id,url,tweet,date,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName,cleaned_words,month_year,sentiment,confidence,polarity
1897704298512810500,https://x.com/harmabeo/status/1897704298512810421,let your face shine upon me,2025-03-06 17:42:00,0,0,0,0,8.0,symplyDAPO,3284,3354,harmabeo,let face shine upon,2025-03,positive,0.7930515,1
1897694477164191700,https://x.com/the_ayodamola/status/1897694477164191780,god bless you abundantly sir,2025-03-06 17:03:00,0,0,0,0,8.0,symplyDAPO,10191,10175,the_ayodamola,god bless abundantly sir,2025-03,positive,0.95226735,1
1897691543512789200,https://x.com/esepalmerr/status/1897691543512789241,cardtonic is great,2025-03-06 16:51:00,0,0,0,0,7.0,iamAbiodunAA,1603,1470,esepalmerr,cardtonic great,2025-03,positive,0.9702477,1
1897691128679584000,https://x.com/Emmyzyl2003/status/1897691128679584118,stay blessed,2025-03-06 16:49:00,0,0,0,0,11.0,symplyDAPO,523,1271,Emmyzyl2003,stay blessed,2025-03,positive,0.8728801,1
1897690955366457900,https://x.com/bello_adefunke/status/1897690955366457814,wowamazing,2025-03-06 16:49:00,0,0,0,0,26.0,symplyDAPO,10953,616,bello_adefunke,wowamazing,2025-03,positive,0.8177941,1
1897689050850685200,https://x.com/Kklazzique/status/1897689050850685180,i just love the way you care about othersthis is a special gift from godyou are forever blessed,2025-03-06 16:41:00,0,0,0,0,19.0,symplyDAPO,7401,6453,Kklazzique,love way care othersthis special gift godyou forever blessed,2025-03,positive,0.99050313,1
1897687725135859700,https://x.com/Annie_john18/status/1897687725135859750,god bless your kind heart for thisi pray am among lucky person also,2025-03-06 16:36:00,0,0,1,0,26.0,symplyDAPO,280,431,Annie_john18,god bless kind heart thisi pray among lucky person also,2025-03,positive,0.9533394,1
1897679478089732600,https://x.com/Topkolly/status/1897679478089732503,enjoy your lunch boss,2025-03-06 16:03:00,0,0,0,0,19.0,symplyDAPO,292,433,Topkolly,enjoy lunch boss,2025-03,positive,0.9447841,1
1897672208887026000,https://x.com/JoshuaM39947852/status/1897672208887025910,nice,2025-03-06 15:34:00,0,0,0,0,11.0,symplyDAPO,1198,2136,JoshuaM39947852,nice,2025-03,positive,0.63872,1
1897671451827659000,https://x.com/wole_id91/status/1897671451827658980,congratulations and more wins boss,2025-03-06 15:31:00,0,0,0,0,25.0,symplyDAPO,137,252,wole_id91,congratulations wins boss,2025-03,positive,0.9703489,1
1897669953735495700,https://x.com/Akinjoshua2017/status/1897669953735495693,nice one,2025-03-06 15:25:00,0,0,0,0,76.0,symplyDAPO,43423,15663,Akinjoshua2017,nice,2025-03,positive,0.8546556,1
1897668666449166600,https://x.com/RuthIyanu96616/status/1897668666449166637,that nice,2025-03-06 15:20:00,0,0,0,0,15.0,symplyDAPO,186,342,RuthIyanu96616,nice,2025-03,positive,0.86259764,1
1897662471785034000,https://x.com/Hybrid_Ola/status/1897662471785034073,the rate is very good,2025-03-06 14:56:00,0,0,1,0,151.0,symplyDAPO,27997,4667,Hybrid_Ola,rate good,2025-03,positive,0.96868974,1
1897662314901279200,https://x.com/MizAnjie/status/1897662314901279127,big wins,2025-03-06 14:55:00,0,0,0,0,39.0,symplyDAPO,44927,203,MizAnjie,big wins,2025-03,positive,0.7113511,1
